time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,raw_watts,raw_heartrate,left_right_balance,hrv
0,0,,131,0.01,511.4,43.69175,40.271034,0.0,36,,,131,,452
1,0,,131,0.02,511.4,43.69175,40.271034,0.0,36,,,131,,451
2,0,,132,0.03,511.4,43.69175,40.271034,0.0,36,,,132,,453
3,0,,132,0.03,511.4,43.69175,40.271034,0.0,36,,,132,,450
4,0,,132,0.03,511.6,43.69175,40.271034,0.0,36,,,132,,450
5,0,,132,0.05,511.6,43.69175,40.271034,0.0,36,,,132,,449
6,0,,132,0.05,511.8,43.69175,40.271034,0.0,36,,,132,,446
7,0,,131,0.05,512.0,43.69175,40.271034,0.0,36,,,131,,449
8,0,,131,0.05,512.0,43.69175,40.271034,0.737,36,,,131,,451
9,0,,131,1.18,512.2,43.691757,40.27103,1.25,36,,,131,,453
10,0,,135,2.58,512.0,43.691772,40.27103,1.493,36,,,135,,454
11,0,,134,4.23,512.0,43.691784,40.271027,1.773,36,,,134,,459
12,0,,129,6.05,512.0,43.691803,40.27102,1.931,36,,,129,,461
13,0,,132,8.04,512.0,43.69182,40.271015,2.053,36,,,132,,464
14,0,,134,10.29,512.0,43.691837,40.271008,2.454,36,,,134,,461
15,0,,137,12.67,512.0,43.691856,40.270996,2.342,36,,,137,,463
16,0,,139,15.26,512.0,43.69188,40.270985,2.911,36,,,139,,461
17,0,,141,18.97,512.0,43.69191,40.27097,4.423,36,,0,141,,459
18,1,10,143,23.79,512.0,43.69195,40.270947,5.244,36,1,1,143,21,451
19,0,10,144,29.21,512.0,43.691994,40.270916,5.682,36,0,0,144,21,451
20,0,10,146,35.27,512.0,43.692043,40.27088,6.503,36,0,0,146,21,446
21,0,0,148,41.81,512.0,43.692093,40.27084,6.587,36,0,0,148,,389
22,0,0,150,48.43,512.0,43.692146,40.2708,6.802,36,0,0,150,,496
23,0,0,152,55.51,512.0,43.6922,40.270756,7.203,36,0,0,152,,440
24,333,87,153,62.81,512.0,43.692257,40.27071,7.493,36,37,333,153,,204
25,381,87,156,70.46,512.0,43.692314,40.270657,7.866,36,42,381,156,,666
26,452,96,157,78.5,512.0,43.692375,40.2706,8.323,36,45,452,157,52,428
27,425,101,159,86.95,512.0,43.69244,40.270546,8.631,36,40,425,159,54,434
28,202,102,160,95.66,512.0,43.692505,40.27049,8.836,36,19,202,160,54,429
29,167,102,161,104.5,512.0,43.692574,40.27043,8.864,36,16,167,161,54,425
30,80,45,163,113.34,512.0,43.692642,40.270374,8.771,36,17,80,163,54,425
31,23,45,164,121.84,512.0,43.692707,40.270317,8.314,36,5,23,164,45,421
32,23,45,164,129.65,512.0,43.692764,40.270264,7.362,36,5,23,164,45,420
33,23,18,164,136.66,512.0,43.692818,40.270214,6.727,36,12,23,164,,417
34,33,18,165,143.24,512.0,43.692867,40.27017,6.531,36,18,33,165,0,416
35,33,76,165,149.77,512.0,43.692913,40.270123,6.597,36,4,33,165,0,416
36,0,76,165,156.25,512.0,43.692963,40.270077,6.476,36,0,0,165,0,411
37,0,0,165,162.61,512.0,43.693012,40.270035,6.252,36,0,0,165,,409
38,0,0,165,168.76,512.0,43.693058,40.269997,6.13,36,0,0,165,,409
39,62,37,165,174.95,512.0,43.693108,40.26996,6.233,36,16,62,165,,404
40,154,71,164,181.17,512.2,43.693157,40.26992,6.196,36,21,154,164,42,405
41,148,75,163,187.53,512.6,43.693207,40.269882,6.41,36,19,148,163,58,403
42,70,73,163,193.9,512.6,43.693256,40.26984,6.308,36,9,70,163,58,402
43,43,73,162,200.2,512.8,43.693302,40.269802,6.242,36,6,43,162,58,402
44,124,72,161,206.43,513.0,43.69335,40.26976,6.102,36,16,124,161,37,394
45,199,73,161,212.66,513.0,43.693398,40.26972,6.289,36,26,199,161,50,396
46,63,71,161,218.96,513.2,43.693447,40.26968,6.354,36,8,63,161,78,395
47,35,69,160,225.16,513.4,43.693493,40.269638,6.149,36,5,35,160,0,393
48,116,69,160,231.25,513.4,43.693542,40.2696,6.009,36,16,116,160,0,388
49,141,71,160,237.27,513.6,43.69359,40.26956,6.0,36,19,141,160,0,389
50,77,71,159,243.32,513.8,43.693638,40.269524,6.046,36,10,77,159,37,386
51,55,70,159,249.39,514.0,43.693684,40.26949,6.158,36,8,55,159,47,386
52,137,70,158,255.48,514.0,43.693733,40.26946,6.074,36,19,137,158,31,763
53,222,73,158,261.61,514.2,43.693783,40.269424,6.224,36,29,222,158,61,380
54,59,74,158,267.88,514.2,43.693836,40.269398,6.392,36,8,59,158,61,758
55,59,74,157,274.4,514.2,43.69389,40.269367,6.448,36,8,59,157,51,376
56,39,73,157,280.8,514.4,43.693947,40.269344,6.345,36,5,39,157,57,373
57,39,72,157,287.06,514.6,43.694,40.26932,6.224,36,5,39,157,34,745
58,216,72,157,293.21,514.6,43.694054,40.269302,6.093,36,29,216,157,31,371
59,216,74,157,299.45,514.8,43.694107,40.269283,6.392,36,28,216,157,31,370
60,193,76,157,305.9,514.8,43.694164,40.269264,6.559,36,24,193,157,52,368
61,248,78,157,312.65,514.8,43.694225,40.26925,6.839,36,30,248,157,44,369
